unit_id,retention_fulltime,student_faculty_ratio,applicants,admitted,enrolled_total,enrolled_fulltime,sat_submission_pct,act_submission_pct,religious_affiliation,study_abroad,evening_weekend,undergrad_research,disability_pct,pell_grant_pct,pell_grant_avg,institutional_grant_pct,institutional_grant_avg,loan_pct,loan_avg,any_aid_pct,tuition_fees,coa_instate_oncampus,coa_outofstate_oncampus,control_3,control_4
218733,56.0,19.0,11017,9102.0,1042.0,942.0,0.0,0.0,0,1,1,0,3.22,79.0,6324.0,76.0,4385.0,72.0,6774.0,96.0,11060,30060.0,40750.0,0,0
218742,70.0,15.0,4682,3149.0,757.0,756.0,7.0,3.0,0,1,0,0,0.0,59.0,6088.0,40.0,3970.0,58.0,6677.0,98.0,11588,27321.0,38823.0,0,0
218964,74.0,13.0,7552,5985.0,900.0,897.0,31.0,14.0,0,1,1,0,11.0,53.0,5982.0,83.0,8173.0,64.0,7448.0,99.0,14678,32894.0,46892.0,0,0
218973,91.0,12.0,4459,2316.0,427.0,427.0,26.0,22.0,1,1,0,1,15.2,18.0,5448.0,97.0,36914.0,45.0,7351.0,99.0,56005,76301.0,76301.0,0,1
219000,86.0,12.0,3017,2044.0,534.0,533.0,4.0,51.0,1,1,0,0,11.0,22.0,5281.0,100.0,28439.0,56.0,7522.0,100.0,40160,58176.0,58176.0,0,1
219046,72.0,17.0,1690,1628.0,490.0,442.0,6.0,66.0,0,1,1,0,0.0,38.0,5104.0,55.0,3114.0,55.0,6920.0,89.0,8764,25690.0,28792.0,0,0
219082,75.0,18.0,2418,2129.0,383.0,372.0,16.0,67.0,0,1,0,0,7.32,28.0,5165.0,79.0,3560.0,61.0,6503.0,97.0,9654,26773.0,29875.0,0,0
219091,75.0,12.0,1247,915.0,192.0,192.0,0.0,0.0,1,1,0,0,7.0,32.0,4396.0,100.0,18351.0,91.0,8049.0,100.0,33790,45240.0,45240.0,0,1
219198,68.0,12.0,1750,745.0,170.0,159.0,0.0,48.0,1,0,0,0,3.3,29.0,5498.0,91.0,24363.0,71.0,7288.0,99.0,34600,50868.0,50868.0,0,1
219259,77.0,19.0,1086,1010.0,356.0,339.0,2.0,74.0,0,1,0,1,4.3,32.0,5382.0,90.0,4084.0,62.0,6087.0,98.0,8845,23845.0,26947.0,0,0
